scaffold	chromosome	bin	centimorgan
scaffold3280	28	4	25.00
scaffold2986	16	7	50.00
scaffold3683	18	3	16.67
scaffold2185	26	3	16.67
scaffold256	5	3	16.67
scaffold2373	4	2	8.33
scaffold4827	3	1	0.00
scaffold8182	28	5	33.33
scaffold2812	27	3	16.67
scaffold583	17	4	25.00
scaffold1680	18	3	16.67
scaffold428	27	3	16.67
scaffold4331	5	3	16.67
scaffold153	6	5	33.33
scaffold1322	8	3	16.67
scaffold4035	14	NA	NA
scaffold2458	25	4	25.00
scaffold1732	16	NA	NA
scaffold2691	31	3	16.67
scaffold4637	16	5	33.33
scaffold8343	25	NA	NA
scaffold403	30	1	0.00
scaffold5188	25	7	50.00
scaffold4477	4	6	41.67
scaffold4955	22	5	33.33
scaffold2419	13	NA	NA
scaffold2963	21	NA	NA
scaffold352	1	1	0.00
scaffold2802	20	1	0.00
scaffold3598	5	4	25.00
scaffold2058	12	NA	NA
scaffold5568	3	NA	NA
scaffold1851	16	4	25.00
scaffold2213	17	3	16.67
scaffold4945	20	NA	NA
scaffold4184	3	NA	NA
scaffold3366	23	1	0.00
scaffold156	5	3	16.67
scaffold3641	25	6	41.67
scaffold1483	13	5	33.33
scaffold84	1	5	33.33
scaffold1419	10	NA	NA
scaffold1440	28	6	41.67
scaffold2080	10	4	25.00
scaffold1188	16	1	0.00
scaffold3558	22	NA	NA
scaffold6378	25	1	0.00
scaffold2600	30	2	8.33
scaffold7000	20	3	16.67
scaffold3891	26	3	16.67
scaffold2019	29	3	16.67
scaffold1883	16	7	50.00
scaffold7633	27	NA	NA
scaffold67	4	6	41.67
scaffold384	21	2	8.33
scaffold4194	10	4	25.00
scaffold2118	8	2	8.33
scaffold3654	7	NA	NA
scaffold3880	3	4	25.00
scaffold1296	23	2	8.33
scaffold3855	3	NA	NA
scaffold1117	4	6	41.67
scaffold1807	3	4	25.00
scaffold315	23	2	8.33
scaffold3233	4	6	41.67
scaffold3581	17	NA	NA
scaffold3397	20	1	0.00
scaffold5998	19	5	33.33
scaffold5551	24	8	58.33
scaffold2078	21	4	25.00
scaffold1849	12	7	50.00
scaffold4907	29	NA	NA
scaffold7710	3	8	58.33
scaffold3659	13	6	41.67
scaffold2443	11	3	16.67
scaffold4483	6	NA	NA
scaffold603	8	4	25.00
scaffold4908	17	2	8.33
scaffold2904	2	7	50.00
scaffold734	1	3	16.67
scaffold2783	19	1	0.00
scaffold2976	30	NA	NA
scaffold3665	18	5	33.33
scaffold821	1	3	16.67
scaffold595	1	5	33.33
scaffold1172	1	3	16.67
scaffold4618	6	NA	NA
scaffold4837	2	4	25.00
scaffold9952	31	NA	NA
scaffold2888	15	NA	NA
scaffold1510	21	9	66.67
scaffold2878	13	6	41.67
scaffold264	3	2	8.33
scaffold1088	4	3	16.67
scaffold3319	21	4	25.00
scaffold2847	13	3	16.67
scaffold1597	14	1	0.00
scaffold3004	2	NA	NA
scaffold40	25	2	8.33
scaffold599	14	7	50.00
scaffold941	24	8	58.33
scaffold678	27	3	16.67
scaffold2692	7	8	58.33
scaffold3324	13	4	25.00
scaffold72	3	6	41.67
scaffold3568	1	1	0.00
scaffold4969	30	6	41.67
scaffold1093	8	2	8.33
scaffold1638	22	9	66.67
scaffold3605	24	6	41.67
scaffold4188	9	8	58.33
scaffold2814	12	9	66.67
scaffold6031	29	3	16.67
scaffold2570	24	8	58.33
scaffold3753	18	1	0.00
scaffold3220	18	NA	NA
scaffold414	19	1	0.00
scaffold3917	29	NA	NA
scaffold5202	10	4	25.00
scaffold1937	21	4	25.00
scaffold962	28	4	25.00
scaffold9760	7	5	33.33
scaffold1279	24	NA	NA
scaffold286	7	5	33.33
scaffold197	23	2	8.33
scaffold3137	20	1	0.00
scaffold4111	27	NA	NA
scaffold675	27	1	0.00
scaffold4586	6	NA	NA
scaffold504	20	9	66.67
scaffold4524	9	8	58.33
scaffold2697	6	5	33.33
scaffold1030	26	3	16.67
scaffold1811	9	3	16.67
scaffold143	2	4	25.00
scaffold7625	14	4	25.00
scaffold4217	21	9	66.67
scaffold2979	7	2	8.33
scaffold1733	2	8	58.33
scaffold2463	21	NA	NA
scaffold2662	12	7	50.00
scaffold3383	7	8	58.33
scaffold2377	14	4	25.00
scaffold3247	1	3	16.67
scaffold7971	19	1	0.00
scaffold1415	23	4	25.00
scaffold338	21	2	8.33
scaffold1646	6	5	33.33
scaffold97	3	6	41.67
scaffold5349	26	8	58.33
scaffold5536	10	NA	NA
scaffold2645	23	2	8.33
scaffold3945	28	3	16.67
scaffold543	26	3	16.67
scaffold2008	21	4	25.00
scaffold904	17	NA	NA
scaffold5128	11	7	50.00
scaffold142	14	2	8.33
scaffold856	15	3	16.67
scaffold2086	2	7	50.00
scaffold1143	13	NA	NA
scaffold3837	29	NA	NA
scaffold157	17	7	50.00
scaffold2519	24	6	41.67
scaffold429	18	NA	NA
scaffold145	1	NA	NA
scaffold1070	21	2	8.33
scaffold9703	11	NA	NA
scaffold3681	17	3	16.67
scaffold508	14	4	25.00
scaffold1818	17	3	16.67
scaffold2759	8	NA	NA
scaffold5199	3	4	25.00
scaffold4686	16	7	50.00
scaffold184	4	NA	NA
scaffold4628	9	7	50.00
scaffold2748	3	4	25.00
scaffold3500	13	2	8.33
scaffold3368	14	2	8.33
scaffold41	27	3	16.67
scaffold1000	22	6	41.67
scaffold2269	2	2	8.33
scaffold579	26	5	33.33
scaffold1329	16	NA	NA
scaffold392	25	5	33.33
scaffold5318	31	NA	NA
scaffold4347	6	7	50.00
scaffold1298	4	2	8.33
scaffold2670	16	1	0.00
scaffold2364	8	5	33.33
scaffold1400	14	NA	NA
scaffold5841	29	7	50.00
scaffold4810	14	NA	NA
scaffold368	30	6	41.67
scaffold2295	2	10	75.00
scaffold1761	26	NA	NA
scaffold1644	12	9	66.67
scaffold5576	16	NA	NA
scaffold4139	15	3	16.67
scaffold3816	25	1	0.00
scaffold3125	22	4	25.00
scaffold3549	23	2	8.33
scaffold8177	10	2	8.33
scaffold7859	20	NA	NA
scaffold11002	20	4	25.00
scaffold761	7	NA	NA
scaffold2454	22	NA	NA
scaffold2472	2	1	0.00
scaffold4717	7	5	33.33
scaffold3320	5	4	25.00
scaffold777	2	2	8.33
scaffold676	10	1	0.00
scaffold2271	13	NA	NA
scaffold362	8	4	25.00
scaffold1355	15	3	16.67
scaffold3090	17	1	0.00
scaffold2186	19	1	0.00
scaffold3041	3	NA	NA
scaffold2520	2	7	50.00
scaffold712	24	6	41.67
scaffold1566	9	3	16.67
scaffold1625	14	NA	NA
scaffold2004	7	NA	NA
scaffold3315	9	5	33.33
scaffold7937	15	5	33.33
scaffold3913	10	4	25.00
scaffold1353	15	NA	NA
scaffold1209	6	7	50.00
scaffold3131	31	NA	NA
scaffold539	17	2	8.33
scaffold2501	22	NA	NA
scaffold5795	1	NA	NA
scaffold6164	3	4	25.00
scaffold2029	3	4	25.00
scaffold1935	5	NA	NA
scaffold4172	22	7	50.00
scaffold1932	11	6	41.67
scaffold1213	2	8	58.33
scaffold8097	9	NA	NA
scaffold521	16	NA	NA
scaffold2099	17	4	25.00
scaffold4231	23	8	58.33
scaffold1272	23	6	41.67
scaffold1197	14	4	25.00
scaffold4232	29	3	16.67
scaffold11151	29	NA	NA
scaffold2304	9	4	25.00
scaffold1345	8	2	8.33
scaffold1195	1	3	16.67
scaffold2787	14	4	25.00
scaffold5298	11	5	33.33
scaffold4860	29	6	41.67
scaffold2924	23	NA	NA
scaffold3228	1	NA	NA
scaffold1487	5	4	25.00
scaffold1199	17	4	25.00
scaffold2107	9	3	16.67
scaffold2990	10	NA	NA
scaffold1635	31	1	0.00
scaffold3827	21	4	25.00
scaffold3633	4	NA	NA
scaffold9356	26	4	25.00
scaffold3022	21	NA	NA
scaffold2842	6	2	8.33
scaffold170	23	2	8.33
scaffold4652	9	8	58.33
scaffold3725	31	1	0.00
scaffold1874	13	6	41.67
scaffold3050	20	1	0.00
scaffold7434	21	2	8.33
scaffold1061	21	2	8.33
scaffold469	21	4	25.00
scaffold4155	1	3	16.67
scaffold2526	22	7	50.00
scaffold4888	25	NA	NA
scaffold5849	29	6	41.67
scaffold1128	20	NA	NA
scaffold978	13	2	8.33
scaffold1297	14	7	50.00
scaffold1859	4	6	41.67
scaffold1677	29	NA	NA
scaffold810	4	2	8.33
scaffold2236	25	1	0.00
scaffold1216	31	1	0.00
scaffold3124	9	5	33.33
scaffold2291	1	3	16.67
scaffold304	1	NA	NA
scaffold3380	19	NA	NA
scaffold3693	30	4	25.00
scaffold886	21	5	33.33
scaffold6052	7	NA	NA
scaffold4514	1	NA	NA
scaffold581	27	3	16.67
scaffold1502	19	1	0.00
scaffold1373	14	6	41.67
scaffold2561	11	5	33.33
scaffold1080	3	8	58.33
scaffold92	13	4	25.00
scaffold1246	22	9	66.67
scaffold4690	23	1	0.00
scaffold413	5	2	8.33
scaffold419	19	5	33.33
scaffold3446	28	7	50.00
scaffold649	19	6	41.67
scaffold1202	22	1	0.00
scaffold2508	12	9	66.67
scaffold397	7	2	8.33
scaffold3510	19	1	0.00
scaffold3566	12	2	8.33
scaffold300	8	3	16.67
scaffold2355	16	NA	NA
scaffold247	19	6	41.67
scaffold2909	3	NA	NA
scaffold7782	1	NA	NA
scaffold3601	1	5	33.33
scaffold1704	28	NA	NA
scaffold4722	13	6	41.67
scaffold971	30	NA	NA
scaffold1330	30	6	41.67
scaffold2622	23	6	41.67
scaffold7892	25	NA	NA
scaffold7558	12	7	50.00
scaffold4905	22	4	25.00
scaffold2703	16	4	25.00
scaffold9412	27	NA	NA
scaffold1456	6	7	50.00
scaffold2096	14	4	25.00
scaffold3306	19	3	16.67
scaffold5548	8	3	16.67
scaffold4122	11	6	41.67
scaffold2952	16	NA	NA
scaffold147	13	3	16.67
scaffold3042	18	3	16.67
scaffold3350	18	1	0.00
scaffold763	31	NA	NA
scaffold4878	5	NA	NA
scaffold554	29	2	8.33
scaffold176	10	NA	NA
scaffold2343	13	7	50.00
scaffold298	9	5	33.33
scaffold556	3	NA	NA
scaffold1159	18	7	50.00
scaffold2541	11	8	58.33
scaffold612	20	4	25.00
scaffold135	23	2	8.33
scaffold2119	11	8	58.33
scaffold1529	14	NA	NA
scaffold4966	12	NA	NA
scaffold2072	7	NA	NA
scaffold3557	31	NA	NA
scaffold465	4	3	16.67
scaffold3939	28	NA	NA
scaffold2928	1	NA	NA
scaffold98	13	5	33.33
scaffold2681	14	NA	NA
scaffold3051	11	5	33.33
scaffold3053	16	4	25.00
scaffold5854	19	NA	NA
scaffold3330	22	NA	NA
scaffold56	4	6	41.67
scaffold3048	7	2	8.33
scaffold2824	15	8	58.33
scaffold1938	20	1	0.00
scaffold4814	5	NA	NA
scaffold11390	22	9	66.67
scaffold4229	31	NA	NA
scaffold875	12	7	50.00
scaffold3143	18	3	16.67
scaffold2533	23	6	41.67
scaffold2305	21	4	25.00
scaffold322	1	3	16.67
scaffold1217	4	1	0.00
scaffold1587	20	9	66.67
scaffold2806	8	5	33.33
scaffold4936	9	3	16.67
scaffold9947	5	NA	NA
scaffold263	10	2	8.33
scaffold713	17	2	8.33
scaffold513	6	3	16.67
scaffold2865	9	7	50.00
scaffold853	12	7	50.00
scaffold2542	28	4	25.00
scaffold5146	3	NA	NA
scaffold3008	19	NA	NA
scaffold1134	29	NA	NA
scaffold3329	16	4	25.00
scaffold381	23	5	33.33
scaffold4928	26	4	25.00
scaffold4390	30	1	0.00
scaffold4812	13	NA	NA
scaffold240	1	3	16.67
scaffold5819	13	NA	NA
scaffold1312	14	7	50.00
scaffold3322	11	7	50.00
scaffold1491	18	7	50.00
scaffold3660	7	2	8.33
scaffold2203	2	8	58.33
scaffold1882	4	NA	NA
scaffold2287	30	NA	NA
scaffold1744	3	4	25.00
scaffold466	6	NA	NA
scaffold3181	5	2	8.33
scaffold5543	7	5	33.33
scaffold2829	16	4	25.00
scaffold503	1	NA	NA
scaffold4931	17	4	25.00
scaffold716	20	6	41.67
scaffold6648	6	NA	NA
scaffold4286	16	7	50.00
scaffold4826	16	7	50.00
scaffold4458	17	4	25.00
scaffold1579	7	5	33.33
scaffold452	16	NA	NA
scaffold3085	19	NA	NA
scaffold4851	10	NA	NA
scaffold591	13	5	33.33
scaffold723	1	5	33.33
scaffold4307	2	8	58.33
scaffold926	24	4	25.00
scaffold635	25	NA	NA
scaffold2911	27	3	16.67
scaffold1274	8	3	16.67
scaffold7621	9	3	16.67
scaffold1407	1	4	25.00
scaffold959	5	3	16.67
scaffold799	7	NA	NA
scaffold5113	5	NA	NA
scaffold3161	15	NA	NA
scaffold380	20	9	66.67
scaffold873	12	2	8.33
scaffold4636	6	3	16.67
scaffold1250	9	3	16.67
scaffold2251	31	2	8.33
scaffold4053	13	NA	NA
scaffold5096	1	NA	NA
scaffold1079	8	NA	NA
scaffold1601	12	NA	NA
scaffold282	8	3	16.67
scaffold3082	5	4	25.00
scaffold3407	26	3	16.67
scaffold4584	30	1	0.00
scaffold1767	23	NA	NA
scaffold3373	12	NA	NA
scaffold5673	21	4	25.00
scaffold2890	26	6	41.67
scaffold2914	7	3	16.67
scaffold3754	18	1	0.00
scaffold643	14	6	41.67
scaffold6400	30	1	0.00
scaffold1961	29	3	16.67
scaffold3046	16	NA	NA
scaffold3138	3	8	58.33
scaffold600	22	NA	NA
scaffold537	15	5	33.33
scaffold4078	16	4	25.00
scaffold1957	7	1	0.00
scaffold3259	25	4	25.00
scaffold3512	11	NA	NA
scaffold2240	19	5	33.33
scaffold2025	20	NA	NA
scaffold1183	1	3	16.67
scaffold2723	1	5	33.33
scaffold3338	10	2	8.33
scaffold106	22	2	8.33
scaffold5768	12	NA	NA
scaffold5211	1	3	16.67
scaffold402	30	1	0.00
scaffold812	6	4	25.00
scaffold845	20	1	0.00
scaffold5523	28	4	25.00
scaffold2462	17	4	25.00
scaffold76	8	1	0.00
scaffold4604	18	NA	NA
scaffold760	11	8	58.33
scaffold660	18	3	16.67
scaffold3351	25	NA	NA
scaffold4890	12	9	66.67
scaffold1283	28	NA	NA
scaffold782	16	7	50.00
scaffold578	31	3	16.67
scaffold2605	16	1	0.00
scaffold3696	29	NA	NA
scaffold3091	16	4	25.00
scaffold5141	23	8	58.33
scaffold4684	9	5	33.33
scaffold2316	29	1	0.00
scaffold2084	12	1	0.00
scaffold938	16	8	58.33
scaffold6767	11	NA	NA
scaffold2238	23	8	58.33
scaffold4691	23	NA	NA
scaffold3340	12	2	8.33
scaffold5194	12	8	58.33
scaffold2464	25	NA	NA
scaffold146	9	5	33.33
scaffold7464	17	3	16.67
scaffold7653	22	6	41.67
scaffold3162	8	NA	NA
scaffold2623	19	1	0.00
scaffold2486	23	8	58.33
scaffold1976	30	NA	NA
scaffold5182	4	1	0.00
scaffold6462	4	2	8.33
scaffold2461	23	2	8.33
scaffold1706	9	5	33.33
scaffold824	2	6	41.67
scaffold780	27	1	0.00
scaffold1924	23	6	41.67
scaffold1659	10	4	25.00
scaffold121	29	NA	NA
scaffold3182	22	4	25.00
scaffold1627	4	6	41.67
scaffold2388	3	8	58.33
scaffold1896	12	9	66.67
scaffold2307	23	NA	NA
scaffold3061	6	5	33.33
scaffold2057	11	NA	NA
scaffold4885	25	7	50.00
scaffold5108	4	6	41.67
scaffold2758	12	8	58.33
scaffold6589	30	1	0.00
scaffold48	20	3	16.67
scaffold2183	20	8	58.33
scaffold2707	14	4	25.00
scaffold4038	29	7	50.00
scaffold794	1	NA	NA
scaffold3382	27	3	16.67
scaffold4355	29	NA	NA
scaffold5283	6	4	25.00
scaffold3003	22	2	8.33
scaffold7001	9	5	33.33
scaffold1317	18	NA	NA
scaffold426	15	NA	NA
scaffold5228	7	3	16.67
scaffold5390	6	3	16.67
scaffold1219	13	NA	NA
scaffold1238	25	3	16.67
scaffold3864	2	8	58.33
scaffold8502	6	4	25.00
scaffold7924	23	1	0.00
scaffold7884	3	4	25.00
scaffold2650	11	8	58.33
scaffold425	13	4	25.00
scaffold2474	1	3	16.67
scaffold2891	11	6	41.67
scaffold1338	3	5	33.33
scaffold1560	21	9	66.67
scaffold2257	22	9	66.67
scaffold195	14	4	25.00
scaffold13	4	NA	NA
scaffold4561	8	2	8.33
scaffold3109	2	7	50.00
scaffold2788	10	2	8.33
scaffold3479	7	8	58.33
scaffold888	4	NA	NA
scaffold3621	27	3	16.67
scaffold2547	1	3	16.67
scaffold5573	23	3	16.67
scaffold4057	12	1	0.00
scaffold1637	20	1	0.00
scaffold4486	12	2	8.33
scaffold7813	8	3	16.67
scaffold538	16	NA	NA
scaffold1647	11	8	58.33
scaffold1180	18	NA	NA
scaffold4027	28	7	50.00
scaffold1765	31	3	16.67
scaffold2480	29	2	8.33
scaffold1546	21	6	41.67
scaffold193	23	5	33.33
scaffold21	1	3	16.67
scaffold4405	27	1	0.00
scaffold2497	26	6	41.67
scaffold3448	28	2	8.33
scaffold3501	1	4	25.00
scaffold2832	23	1	0.00
scaffold2653	2	8	58.33
scaffold456	23	NA	NA
scaffold1540	2	9	66.67
scaffold1324	2	8	58.33
scaffold5278	5	NA	NA
scaffold457	20	4	25.00
scaffold1481	27	3	16.67
scaffold2507	5	5	33.33
scaffold1381	10	2	8.33
scaffold6062	2	NA	NA
scaffold2336	17	4	25.00
scaffold2089	15	7	50.00
scaffold7510	5	1	0.00
scaffold4180	11	7	50.00
scaffold779	18	NA	NA
scaffold9895	1	5	33.33
scaffold2063	15	5	33.33
scaffold1906	10	4	25.00
scaffold1985	11	6	41.67
scaffold390	5	4	25.00
scaffold2627	4	6	41.67
scaffold2719	22	7	50.00
scaffold7969	31	3	16.67
scaffold4415	23	1	0.00
scaffold5099	23	NA	NA
scaffold1328	18	1	0.00
scaffold657	15	8	58.33
scaffold1669	14	3	16.67
scaffold3160	7	8	58.33
scaffold698	2	7	50.00
scaffold1610	10	4	25.00
scaffold1391	18	3	16.67
scaffold2356	4	3	16.67
scaffold3943	7	1	0.00
scaffold7260	30	NA	NA
scaffold5367	25	4	25.00
scaffold3412	8	3	16.67
scaffold3129	15	3	16.67
scaffold3509	10	4	25.00
scaffold1257	10	3	16.67
scaffold1504	2	7	50.00
scaffold5796	20	8	58.33
scaffold991	11	4	25.00
scaffold165	1	NA	NA
scaffold1468	7	1	0.00
scaffold1877	8	5	33.33
scaffold2722	22	1	0.00
scaffold744	8	NA	NA
scaffold654	13	NA	NA
scaffold11201	12	8	58.33
scaffold1161	8	NA	NA
scaffold1711	16	5	33.33
scaffold3365	28	NA	NA
scaffold1757	5	4	25.00
scaffold2985	14	4	25.00
scaffold7875	14	4	25.00
scaffold3157	22	4	25.00
scaffold5871	10	1	0.00
scaffold3682	3	4	25.00
scaffold7610	26	4	25.00
scaffold2088	14	4	25.00
scaffold7300	1	NA	NA
scaffold3243	27	3	16.67
scaffold6542	15	2	8.33
scaffold3363	12	6	41.67
scaffold6352	17	3	16.67
scaffold2154	16	4	25.00
scaffold2037	1	5	33.33
scaffold1193	16	NA	NA
scaffold4148	18	1	0.00
scaffold2327	12	7	50.00
scaffold3881	18	7	50.00
scaffold4210	9	1	0.00
scaffold3690	28	4	25.00
scaffold1612	23	1	0.00
scaffold9972	1	NA	NA
scaffold2156	3	NA	NA
scaffold3107	1	1	0.00
scaffold2584	29	6	41.67
scaffold2741	16	4	25.00
scaffold4719	12	7	50.00
scaffold2399	31	2	8.33
scaffold3969	2	NA	NA
scaffold3480	20	3	16.67
scaffold10795	8	3	16.67
scaffold673	4	6	41.67
scaffold4883	14	7	50.00
scaffold2176	1	1	0.00
scaffold1791	1	4	25.00
scaffold1341	10	NA	NA
scaffold1895	13	NA	NA
scaffold2368	22	NA	NA
scaffold1169	25	3	16.67
scaffold3720	30	1	0.00
scaffold2197	4	6	41.67
scaffold2677	15	8	58.33
scaffold4612	29	NA	NA
scaffold1401	27	NA	NA
scaffold3337	31	3	16.67
scaffold2440	22	3	16.67
scaffold3828	28	4	25.00
scaffold2984	15	NA	NA
scaffold2572	5	2	8.33
scaffold919	10	2	8.33
scaffold562	20	NA	NA
scaffold8183	17	2	8.33
scaffold4295	23	NA	NA
scaffold3023	3	NA	NA
scaffold1116	12	8	58.33
scaffold4273	26	3	16.67
scaffold1466	7	2	8.33
scaffold276	3	8	58.33
scaffold7299	5	4	25.00
scaffold4236	4	1	0.00
scaffold6956	11	8	58.33
scaffold2549	31	NA	NA
scaffold2043	1	5	33.33
scaffold964	5	NA	NA
scaffold6092	26	8	58.33
scaffold3285	28	4	25.00
scaffold2487	29	3	16.67
scaffold1885	3	4	25.00
scaffold2632	21	7	50.00
scaffold2262	10	1	0.00
scaffold4256	16	1	0.00
scaffold4822	12	7	50.00
scaffold95	16	4	25.00
scaffold3702	18	3	16.67
scaffold4205	31	1	0.00
scaffold4654	21	4	25.00
scaffold1365	19	1	0.00
scaffold2635	15	4	25.00
scaffold1724	8	5	33.33
scaffold39	9	7	50.00
scaffold2998	15	6	41.67
scaffold2092	18	3	16.67
scaffold1809	7	2	8.33
scaffold5475	11	7	50.00
scaffold2968	20	NA	NA
scaffold3070	2	6	41.67
scaffold569	29	6	41.67
scaffold1852	2	8	58.33
scaffold3121	1	3	16.67
scaffold1969	18	1	0.00
scaffold5491	20	4	25.00
scaffold6912	22	6	41.67
scaffold540	17	3	16.67
scaffold3560	13	6	41.67
scaffold259	12	7	50.00
scaffold6133	10	4	25.00
scaffold4743	8	5	33.33
scaffold628	30	2	8.33
scaffold1132	16	NA	NA
scaffold1186	25	3	16.67
scaffold4119	20	9	66.67
scaffold3238	3	NA	NA
scaffold353	1	4	25.00
scaffold10803	4	6	41.67
scaffold1454	26	6	41.67
scaffold3516	28	3	16.67
scaffold1700	21	NA	NA
scaffold4177	29	6	41.67
scaffold5929	6	6	41.67
scaffold6135	8	NA	NA
scaffold2756	15	NA	NA
scaffold2285	19	NA	NA
scaffold9811	1	NA	NA
scaffold2193	3	NA	NA
scaffold2960	25	3	16.67
scaffold1151	6	3	16.67
scaffold2429	6	6	41.67
scaffold7882	7	1	0.00
scaffold7207	4	3	16.67
scaffold6568	8	3	16.67
scaffold8228	16	5	33.33
scaffold6020	26	6	41.67
scaffold2815	10	NA	NA
scaffold3763	1	NA	NA
scaffold903	15	3	16.67
scaffold336	24	6	41.67
scaffold3948	7	5	33.33
scaffold2312	27	3	16.67
scaffold4253	12	NA	NA
scaffold2400	9	5	33.33
scaffold2557	10	4	25.00
scaffold5125	6	NA	NA
scaffold5694	2	4	25.00
scaffold3147	24	6	41.67
scaffold3241	2	6	41.67
scaffold3492	21	4	25.00
scaffold2479	18	8	58.33
scaffold3900	9	NA	NA
scaffold1754	22	2	8.33
scaffold5803	10	4	25.00
scaffold8111	29	2	8.33
scaffold729	28	2	8.33
scaffold1403	11	5	33.33
scaffold879	17	1	0.00
scaffold3357	15	6	41.67
scaffold2858	18	3	16.67
scaffold5043	8	3	16.67
scaffold5023	28	1	0.00
scaffold609	29	NA	NA
scaffold3700	18	3	16.67
scaffold9	3	4	25.00
scaffold2917	5	1	0.00
scaffold2317	30	4	25.00
scaffold2113	10	4	25.00
scaffold9726	27	NA	NA
scaffold2640	28	NA	NA
scaffold5486	13	5	33.33
scaffold884	5	4	25.00
scaffold982	14	4	25.00
scaffold1534	4	6	41.67
scaffold5696	24	NA	NA
scaffold1078	3	4	25.00
scaffold2967	15	NA	NA
scaffold37	16	3	16.67
scaffold288	6	1	0.00
scaffold2127	15	5	33.33
scaffold5686	4	3	16.67
scaffold2843	14	4	25.00
scaffold4073	11	5	33.33
scaffold2115	11	3	16.67
scaffold7959	5	5	33.33
scaffold211	12	7	50.00
scaffold1550	9	5	33.33
scaffold2512	25	7	50.00
scaffold1437	11	8	58.33
scaffold275	26	4	25.00
scaffold9869	16	4	25.00
scaffold2090	26	3	16.67
scaffold6448	14	7	50.00
scaffold2160	12	8	58.33
scaffold1191	6	3	16.67
scaffold3159	5	2	8.33
scaffold3590	9	3	16.67
scaffold4465	5	NA	NA
scaffold8472	6	5	33.33
scaffold705	31	3	16.67
scaffold5738	11	7	50.00
scaffold216	2	NA	NA
scaffold916	26	3	16.67
scaffold3200	26	NA	NA
scaffold789	6	5	33.33
scaffold1952	25	5	33.33
scaffold647	17	1	0.00
scaffold7657	7	3	16.67
scaffold1482	8	3	16.67
scaffold4623	13	2	8.33
scaffold2930	5	1	0.00
scaffold648	17	7	50.00
scaffold323	13	NA	NA
scaffold1144	7	5	33.33
scaffold2673	19	3	16.67
scaffold1639	13	2	8.33
scaffold3188	4	3	16.67
scaffold781	28	5	33.33
scaffold3860	15	NA	NA
scaffold4789	27	3	16.67
scaffold641	4	1	0.00
scaffold6563	1	NA	NA
scaffold9721	1	NA	NA
scaffold7475	1	3	16.67
scaffold863	19	1	0.00
scaffold6277	10	4	25.00
scaffold598	20	3	16.67
scaffold5379	20	9	66.67
scaffold4176	22	3	16.67
scaffold2634	6	NA	NA
scaffold3153	16	4	25.00
scaffold747	10	2	8.33
scaffold618	8	NA	NA
scaffold480	21	4	25.00
scaffold10612	11	8	58.33
scaffold115	26	5	33.33
scaffold1608	2	7	50.00
scaffold667	15	NA	NA
scaffold602	2	7	50.00
scaffold945	14	6	41.67
scaffold6666	21	4	25.00
scaffold1861	3	NA	NA
scaffold4183	14	NA	NA
scaffold2101	27	3	16.67
scaffold3808	1	1	0.00
scaffold3624	17	NA	NA
scaffold209	30	6	41.67
scaffold8245	16	4	25.00
scaffold4082	19	1	0.00
scaffold4921	1	NA	NA
scaffold918	10	4	25.00
scaffold4181	12	2	8.33
scaffold5045	24	6	41.67
scaffold7482	15	8	58.33
scaffold9806	13	NA	NA
scaffold3113	20	8	58.33
scaffold3117	15	5	33.33
scaffold4659	7	1	0.00
scaffold346	2	8	58.33
scaffold1265	18	2	8.33
scaffold5557	13	7	50.00
scaffold3000	24	6	41.67
scaffold894	16	7	50.00
scaffold4454	3	4	25.00
scaffold4244	15	4	25.00
scaffold3076	13	2	8.33
scaffold1762	10	3	16.67
scaffold3859	11	8	58.33
scaffold1898	21	4	25.00
scaffold313	23	NA	NA
scaffold424	25	4	25.00
scaffold9841	1	NA	NA
scaffold5140	14	7	50.00
scaffold3307	24	6	41.67
scaffold1869	10	2	8.33
scaffold2174	5	4	25.00
scaffold475	19	1	0.00
scaffold4954	7	5	33.33
scaffold552	12	1	0.00
scaffold7829	4	4	25.00
scaffold7514	1	NA	NA
scaffold1431	29	3	16.67
scaffold939	3	NA	NA
scaffold3802	8	5	33.33
scaffold2734	12	8	58.33
scaffold5203	10	4	25.00
scaffold3052	11	NA	NA
scaffold547	12	2	8.33
scaffold4	7	3	16.67
scaffold1182	7	1	0.00
scaffold2981	24	6	41.67
scaffold2452	7	NA	NA
scaffold47	24	8	58.33
scaffold3986	29	2	8.33
scaffold1941	3	9	66.67
scaffold11098	26	3	16.67
scaffold1464	4	3	16.67
scaffold2272	9	NA	NA
scaffold841	24	7	50.00
scaffold443	20	NA	NA
scaffold3343	6	5	33.33
scaffold125	9	8	58.33
scaffold62	22	5	33.33
scaffold3771	21	5	33.33
scaffold699	18	3	16.67
scaffold1427	25	1	0.00
scaffold1899	22	NA	NA
scaffold2945	8	2	8.33
scaffold2798	6	3	16.67
scaffold4093	14	2	8.33
scaffold2972	15	8	58.33
scaffold2615	21	9	66.67
scaffold743	16	NA	NA
scaffold3569	2	NA	NA
scaffold4446	20	4	25.00
scaffold5764	10	NA	NA
scaffold790	28	NA	NA
scaffold4696	24	NA	NA
scaffold1820	20	4	25.00
scaffold2296	4	3	16.67
scaffold3298	23	5	33.33
scaffold983	12	2	8.33
scaffold4764	7	1	0.00
scaffold1707	1	1	0.00
scaffold168	14	6	41.67
scaffold3777	1	6	41.67
scaffold922	15	5	33.33
scaffold3795	6	NA	NA
scaffold885	2	7	50.00
