"Scaffold" "Length" "M36M" "M38F" "STM123F" "STM146M" "HI035F" "HI004M"
"2773" "DPSCF302773" 544 44 24 18 24 21 10
"2774" "DPSCF302774" 544 21 13 11 14 20 7
"2775" "DPSCF302775" 544 29 21 22 16 25 9
"2776" "DPSCF302776" 544 44 47 48 19 37 30
"2777" "DPSCF302777" 543 42 26 15 25 21 28
"2778" "DPSCF302778" 543 37 23 23 21 29 20
"2779" "DPSCF302779" 543 17 14 25 35 19 16
"2780" "DPSCF302780" 543 31 21 22 21 17 22
"2781" "DPSCF302781" 542 43 31 12 14 31 12
"2782" "DPSCF302782" 542 34 17 12 10 23 12
"2783" "DPSCF302783" 542 38 22 13 18 28 18
"2784" "DPSCF302784" 542 42 22 15 21 29 12
"2785" "DPSCF302785" 542 3 9 2 5 7 1
"2786" "DPSCF302786" 542 35 21 11 20 26 13
"2787" "DPSCF302787" 542 43 28 275 16 32 15
"2788" "DPSCF302788" 542 4 1 3 3 3 0
"2789" "DPSCF302789" 542 47 18 10 19 34 10
"2790" "DPSCF302790" 541 30 17 6 20 19 20
"2791" "DPSCF302791" 541 26 16 4 18 15 12
"2792" "DPSCF302792" 541 33 17 24 26 22 17
"2793" "DPSCF302793" 541 17 17 10 10 11 1
"2794" "DPSCF302794" 540 28.5 15 16 14 16 22
"2795" "DPSCF302795" 540 32 21 13 16 26 13
"2796" "DPSCF302796" 540 5 9 5 0 8 0
"2797" "DPSCF302797" 540 35 26 10 23 29 13
"2798" "DPSCF302798" 539 44 9 10 19 7 61
"2799" "DPSCF302799" 539 44 21 12 22 31 35
"2800" "DPSCF302800" 539 35 15 11 11 18 8
"2801" "DPSCF302801" 539 38 21 14 19 24 14
"2802" "DPSCF302802" 539 44 23 13 23 31 11
"2803" "DPSCF302803" 539 52 31 13 19 33 21
"2804" "DPSCF302804" 538 42 22 48 30 24 31
"2805" "DPSCF302805" 538 38 24 17 31 23 14
"2806" "DPSCF302806" 538 28 19 8 13 23 17
"2807" "DPSCF302807" 538 39 23 17 19 32 39
"2808" "DPSCF302808" 538 0 0 0 0 9 NA
"2809" "DPSCF302809" 538 20 18 12 19 12 20
"2810" "DPSCF302810" 538 5 3 5 3 5 0
"2811" "DPSCF302811" 538 36 20 14 31 14 43
"2812" "DPSCF302812" 537 32 29 20 25 28 43
"2813" "DPSCF302813" 537 36 26 14 21 28 10
"2814" "DPSCF302814" 536 42 25 8 19 24 12
"2815" "DPSCF302815" 536 38 21 14 13 23 17
"2816" "DPSCF302816" 536 26 19.5 27 21 13 14
"2817" "DPSCF302817" 536 44 25 15 27 29 18
"2818" "DPSCF302818" 536 43 25 7 19 33.5 20
"2819" "DPSCF302819" 536 0 0 0 0 NA NA
"2820" "DPSCF302820" 536 26 14 11 9 22 2
"2821" "DPSCF302821" 535 31 21 14 16 14 16
"2822" "DPSCF302822" 535 1 0 0 0 1 1
"2823" "DPSCF302823" 535 9 6 61 5 3 1
"2824" "DPSCF302824" 535 35 19 37 22 17 38
"2825" "DPSCF302825" 535 33 25 10 22 19 18
"2826" "DPSCF302826" 535 43 20 14 23 30 30
"2827" "DPSCF302827" 535 40 27 30 12 28 12
"2828" "DPSCF302828" 535 49 13 14 20 22 16
"2829" "DPSCF302829" 535 45 29 20 21 32 16
"2830" "DPSCF302830" 534 26 11 11 9 16 14
"2831" "DPSCF302831" 534 34 24 16 16 23 10
"2832" "DPSCF302832" 534 41 34 26 19 21 27
"2833" "DPSCF302833" 534 29.5 20 15 21 18 12
"2834" "DPSCF302834" 534 35.5 22 13 23 22 39
"2835" "DPSCF302835" 534 36 20 9 25 20 42
"2836" "DPSCF302836" 533 38 17 13 14 31 14
"2837" "DPSCF302837" 532 30 23 8 3 17 7
"2838" "DPSCF302838" 532 31.5 16 9 23 14 9
"2839" "DPSCF302839" 532 20 12 13 12 20 14
"2840" "DPSCF302840" 532 27 15 4 9 36 6
"2841" "DPSCF302841" 532 38 23 17 29 26 16
"2842" "DPSCF302842" 531 38 21 20 22 21 17
"2843" "DPSCF302843" 531 31 17 6 10 19 13
"2844" "DPSCF302844" 531 22 15 7 19 10 24
"2845" "DPSCF302845" 531 3 9 5 12 13 5
"2846" "DPSCF302846" 531 21 5 6 13 20 0
"2847" "DPSCF302847" 531 4 11 4 3 6 23
"2848" "DPSCF302848" 531 34 30 14 16 25 19
"2849" "DPSCF302849" 530 25 16 23 16 13 17
"2850" "DPSCF302850" 530 15 1 3 0 4 4
"2851" "DPSCF302851" 529 12 0 8 17 6 12
"2852" "DPSCF302852" 529 35 23 19 16 26 15
"2853" "DPSCF302853" 529 21 15 9 12 12 4
"2854" "DPSCF302854" 529 39 16 4 18 18 11
"2855" "DPSCF302855" 529 0 1 0 0 0 0
"2856" "DPSCF302856" 529 41 28 10 20 36 11
"2857" "DPSCF302857" 528 43 18 18 28 23 38
"2858" "DPSCF302858" 528 141 46 51 92 30 182
"2859" "DPSCF302859" 528 45 22 53 19 30 29
"2860" "DPSCF302860" 528 7 6 17 4 7 11.5
"2861" "DPSCF302861" 528 32 18 8 17 20 16
"2862" "DPSCF302862" 527 21 14 6 19 13 15
"2863" "DPSCF302863" 527 34 29 13 18 21 27
"2864" "DPSCF302864" 527 37 23 13 21 24 16
"2865" "DPSCF302865" 527 40 30 9 17 30 28
"2866" "DPSCF302866" 526 45.5 32 59 24 27 46
"2867" "DPSCF302867" 526 35 20 26 22 15 43
"2868" "DPSCF302868" 526 54 32 14 26 25 44
"2869" "DPSCF302869" 526 40 24 14 22 29 24
"2870" "DPSCF302870" 526 42 20 17 24 19 22
"2871" "DPSCF302871" 526 23 21 7 18 28 15
"2872" "DPSCF302872" 525 24 11 4 11 14 7
"2873" "DPSCF302873" 525 0 1 7 7 13 15
"2874" "DPSCF302874" 525 10 6 2 0 4 0
"2875" "DPSCF302875" 525 27 15 9 11 9 0
"2876" "DPSCF302876" 525 0 4 4 9 0 4
"2877" "DPSCF302877" 524 26 17 8 18.5 20 14
"2878" "DPSCF302878" 524 26 17 11 18 15 8
"2879" "DPSCF302879" 524 0 1 0 0 0 0
"2880" "DPSCF302880" 524 47 32 19 69 38 87
"2881" "DPSCF302881" 524 39 29 23 22 24.5 15
"2882" "DPSCF302882" 524 41 28 17 28 28 23
"2883" "DPSCF302883" 523 33 20 27 17 28 13
"2884" "DPSCF302884" 523 37 21 48 12 19 7
"2885" "DPSCF302885" 523 33 20 9 9 18 13
"2886" "DPSCF302886" 523 5 5 7 8 17 5
"2887" "DPSCF302887" 523 29 12 11 23 13 14
"2888" "DPSCF302888" 523 44 27 11 22 31 13
"2889" "DPSCF302889" 523 45 29 25 16 36 6
"2890" "DPSCF302890" 522 28 19 15 19 19 9
"2891" "DPSCF302891" 522 23 16 4 16 19 28
"2892" "DPSCF302892" 522 30 12 7.5 9 16 12.5
"2893" "DPSCF302893" 522 0 0 NA 0 NA 0
"2894" "DPSCF302894" 522 40 18 25 21 15 35
"2895" "DPSCF302895" 521 38 27 16 42 17 27
"2896" "DPSCF302896" 521 16 0 9 7 1 2
"2897" "DPSCF302897" 521 15 3 3 7 6 0
"2898" "DPSCF302898" 521 27 15 1 10 10 33
"2899" "DPSCF302899" 521 18 14 6 10 11 7
"2900" "DPSCF302900" 521 37 21 19 22 17 18
"2901" "DPSCF302901" 521 29 15 13 15 27 11
"2902" "DPSCF302902" 520 9.5 5.5 2.5 3 0 1
"2903" "DPSCF302903" 519 39 21 8 24 32 11
"2904" "DPSCF302904" 519 72 25 23 42 9 38
"2905" "DPSCF302905" 519 40 20 17 13 28 16
"2906" "DPSCF302906" 519 18 3 10 10 10 17
"2907" "DPSCF302907" 519 35 26 8 12 20 10
"2908" "DPSCF302908" 519 35 20 17 9 31 11
"2909" "DPSCF302909" 518 32 24 15 21 18 40.5
"2910" "DPSCF302910" 518 35 23 11 21 25 13
"2911" "DPSCF302911" 518 35 22 22 27 14 43
"2912" "DPSCF302912" 518 NA 0 NA NA 0 37
"2913" "DPSCF302913" 518 32 19 8 12 22 9
"2914" "DPSCF302914" 518 0 1 4 6 0 2
"2915" "DPSCF302915" 518 46 23 13 15 22 19
"2916" "DPSCF302916" 518 33 15.5 12 9 23 3
"2917" "DPSCF302917" 518 29 18 6 15 18 5
"2918" "DPSCF302918" 518 40 23 8 20 31 21
"2919" "DPSCF302919" 517 4 3 2 2 4 5
"2920" "DPSCF302920" 517 8 11 7 11 7 7
"2921" "DPSCF302921" 517 37 17 14 12 29 12
"2922" "DPSCF302922" 517 28 19 9 23 22 16
"2923" "DPSCF302923" 517 35 1 16 30 23 15
"2924" "DPSCF302924" 517 35 27 11 25 25 13
"2925" "DPSCF302925" 517 24 9 6 16 17 8
"2926" "DPSCF302926" 517 42 22 14 22 21 30
"2927" "DPSCF302927" 517 42 24 18 22 33 13
"2928" "DPSCF302928" 516 37 21 10.5 18 23 19
"2929" "DPSCF302929" 516 33 17 7 18 10 26
"2930" "DPSCF302930" 516 32 21 16 15 24 11
"2931" "DPSCF302931" 516 38 23 22 19 30 20
"2932" "DPSCF302932" 516 28 15.5 9 8 18.5 8
"2933" "DPSCF302933" 516 32 27 22 15 26 15
"2934" "DPSCF302934" 516 43 19 16 16 20 27
"2935" "DPSCF302935" 516 37 21 26 18 13 47
"2936" "DPSCF302936" 515 43 27 11 28 19 19
"2937" "DPSCF302937" 515 43 23 10 18 24 11
"2938" "DPSCF302938" 515 40 17 22 24 11 39
"2939" "DPSCF302939" 515 15 11 8 10 9 12
"2940" "DPSCF302940" 515 45 24 20 18 28 27
"2941" "DPSCF302941" 515 42 21 20 19 20 21
"2942" "DPSCF302942" 515 39 25 15 21 27 16
"2943" "DPSCF302943" 515 53 23 8 36 5 61
"2944" "DPSCF302944" 515 18 12 9 3 8 7
"2945" "DPSCF302945" 514 32 18 9 11 11 2
"2946" "DPSCF302946" 514 7 5 1 7 15 8
"2947" "DPSCF302947" 514 16 12 10 14 27 18
"2948" "DPSCF302948" 514 61 38 14 17 24 12
"2949" "DPSCF302949" 513 43 26 28 19 32 20
"2950" "DPSCF302950" 513 15 12 8 12 12 2
"2951" "DPSCF302951" 513 21 10 3 9 13 11
"2952" "DPSCF302952" 513 30 23 14 12 20 7
"2953" "DPSCF302953" 513 29 14 7 13 8 11
"2954" "DPSCF302954" 513 25 13 5 20 18 38
"2955" "DPSCF302955" 512 0.5 1 0 0 0 1
"2956" "DPSCF302956" 512 36 24 22 20 17 12
"2957" "DPSCF302957" 511 35 10 23 19 24 26
"2958" "DPSCF302958" 511 33 22 8 24 13 21
"2959" "DPSCF302959" 511 46 30 18 21 25 11
"2960" "DPSCF302960" 511 6 2 0 1 0 5
"2961" "DPSCF302961" 511 34 23 22 14 13 25
"2962" "DPSCF302962" 511 0 0 0 0 0 0
"2963" "DPSCF302963" 510 47 18 11 18 26 15
"2964" "DPSCF302964" 510 0 0 0 0 0 0
"2965" "DPSCF302965" 510 32 17 20 14 21 10
"2966" "DPSCF302966" 510 39 24 19 13 23 7
"2967" "DPSCF302967" 509 13 9 10 11 5 22
"2968" "DPSCF302968" 509 50 24 9 27 17 22
"2969" "DPSCF302969" 509 22 11 6 16 14 15
"2970" "DPSCF302970" 509 45 28 31 21 18 11
"2971" "DPSCF302971" 509 40 24 24 17 25 15
"2972" "DPSCF302972" 509 42 19 19 14 24 32
"2973" "DPSCF302973" 509 28 0 0 0 17 6
"2974" "DPSCF302974" 509 36 18 14 27 11 48
"2975" "DPSCF302975" 509 38 22 14 18 23 22
"2976" "DPSCF302976" 508 0 3 4 0 3 0
"2977" "DPSCF302977" 508 25 14 23 24 17 26
"2978" "DPSCF302978" 508 45 29 16 17 26 18
"2979" "DPSCF302979" 508 21.5 7 6 19 8 34
"2980" "DPSCF302980" 507 9 5 1 7 0 4
"2981" "DPSCF302981" 507 30 19 5 10 16 11
"2982" "DPSCF302982" 507 5 3 3 0 1 0
"2983" "DPSCF302983" 507 41 22 7 19 23 16
"2984" "DPSCF302984" 507 5 3 2 4 8 14
"2985" "DPSCF302985" 507 25 18 14 22 22 9
"2986" "DPSCF302986" 507 40 24 11 14 21 14
"2987" "DPSCF302987" 506 26 19 8 5 6 2
"2988" "DPSCF302988" 506 12 12 5 9 6 12
"2989" "DPSCF302989" 506 18 11 0 5 8 0
"2990" "DPSCF302990" 506 20 13 10 17.5 11 44.5
"2991" "DPSCF302991" 506 42 25 18 28 16 29
"2992" "DPSCF302992" 506 38 21 21 16 20 30
"2993" "DPSCF302993" 506 6 0 0 0 8 5
"2994" "DPSCF302994" 506 40 22 22 19 23 14
"2995" "DPSCF302995" 505 37 15 8 13 15 10
"2996" "DPSCF302996" 505 43 26 15 13 24 23
"2997" "DPSCF302997" 505 0 0 0 0 0 0
"2998" "DPSCF302998" 505 20 11 22 14 18 17
"2999" "DPSCF302999" 505 33 17 10 12 24 13
"3000" "DPSCF303000" 505 49 30 7 18 25 20
"3001" "DPSCF303001" 505 18 18 8 14 11 13
"3002" "DPSCF303002" 505 19 10 6 16 10 5
"3003" "DPSCF303003" 504 36 29 11 19 28 11
"3004" "DPSCF303004" 504 34 26 73 16 22 22
"3005" "DPSCF303005" 504 34 26 5 20 45 32
"3006" "DPSCF303006" 504 39 20 12 17 12 8
"3007" "DPSCF303007" 504 5 0 5 16 10 16
"3008" "DPSCF303008" 504 35 17 9 15 14 15
"3009" "DPSCF303009" 503 33 26 28 24 23 42
"3010" "DPSCF303010" 503 25 9 8 11 13 6
"3011" "DPSCF303011" 503 10 8 0 8 8 0
"3012" "DPSCF303012" 503 45 23 9 17 25 21
"3013" "DPSCF303013" 503 24 7 12 14 16 12
"3014" "DPSCF303014" 503 31 14 17 17 17 15
"3015" "DPSCF303015" 503 41 21 10 20 25 18
"3016" "DPSCF303016" 503 39 20 16 18 32 11
"3017" "DPSCF303017" 502 47 27 16 16 27 10
"3018" "DPSCF303018" 502 37 24 10 22 27 12
"3019" "DPSCF303019" 502 44 24 15 21 22 25
"3020" "DPSCF303020" 502 36 22 11 20 19 20.5
"3021" "DPSCF303021" 502 11 5 0 19 11 3
"3022" "DPSCF303022" 502 33 19 11 14 20 5
"3023" "DPSCF303023" 502 28 15 23 18 9 20
"3024" "DPSCF303024" 501 25 24 11 13 33 9
"3025" "DPSCF303025" 501 30 20 12 7 16 4
"3026" "DPSCF303026" 501 45 28 20 16 30 23
"3027" "DPSCF303027" 501 28 14 8 18 15 9
"3028" "DPSCF303028" 500 36 22 18 21 22 8
"3029" "DPSCF303029" 500 38 22 11.5 14 23 28
"3030" "DPSCF303030" 500 12 9 4 9 19 13
"3031" "DPSCF303031" 499 33 22 9 15 14 9
"3032" "DPSCF303032" 499 24 18 14 15 23 11
"3033" "DPSCF303033" 498 21 11 40 20.5 11 29
"3034" "DPSCF303034" 498 45 25 21.5 22 27 31
"3035" "DPSCF303035" 498 42 28 8 26 26 17
"3036" "DPSCF303036" 497 64 45 44 51 28 35
"3037" "DPSCF303037" 497 22 16 14 18 15 28
"3038" "DPSCF303038" 497 25 17 21 29 11 41
"3039" "DPSCF303039" 497 36 22 16 18 40 25
"3040" "DPSCF303040" 497 27 17 9 20 24 10
"3041" "DPSCF303041" 497 46 25 13 16 26 16
"3042" "DPSCF303042" 497 41 26 27 17 28 10
"3043" "DPSCF303043" 496 42 28 14 23 30 29
"3044" "DPSCF303044" 496 10 8 2 7.5 11 6
"3045" "DPSCF303045" 496 21 15 12 25 11 41
"3046" "DPSCF303046" 496 5.5 3 2 4 3.5 2.5
"3047" "DPSCF303047" 496 21 15 9 9 16 6
"3048" "DPSCF303048" 496 37 26 10 24 27 21
"3049" "DPSCF303049" 496 0 9 3 12 5 12
"3050" "DPSCF303050" 496 33 28 10 20 24 19
"3051" "DPSCF303051" 496 18 16 14 27 12 21
"3052" "DPSCF303052" 495 36 27 19 30 19 20
"3053" "DPSCF303053" 495 22 17 22 24 19 33
"3054" "DPSCF303054" 495 13 10 3 7 5 2
"3055" "DPSCF303055" 495 38 26 5 17 31 10
"3056" "DPSCF303056" 495 36 24 20 22 21 13
"3057" "DPSCF303057" 495 38 21 10 14 17 12
"3058" "DPSCF303058" 495 716 458 289 399 534 620
"3059" "DPSCF303059" 495 35 18 34 14 16 18
"3060" "DPSCF303060" 494 10 5 20 4 12 4
"3061" "DPSCF303061" 494 52 33 20 4 12 0
"3062" "DPSCF303062" 494 47 26 10 27 31 20
"3063" "DPSCF303063" 494 37 22 11 23 21.5 15
"3064" "DPSCF303064" 494 23 1 NA NA 7 7
"3065" "DPSCF303065" 494 16 10 4 17 11 9
"3066" "DPSCF303066" 493 27 16 12 6 1 1
"3067" "DPSCF303067" 493 34 23 20 26 22 16
"3068" "DPSCF303068" 493 39 25 21 26 25 24
"3069" "DPSCF303069" 493 37 15 12 17 26 13
"3070" "DPSCF303070" 493 43 23 8 25 25 35
"3071" "DPSCF303071" 493 15 8 3 0 0 0
"3072" "DPSCF303072" 493 26 7 6 11 13 10
"3073" "DPSCF303073" 492 2.5 0 5 7 9 0
"3074" "DPSCF303074" 492 16 1 14 12 4 3
"3075" "DPSCF303075" 492 39 25 9 20 20 21
"3076" "DPSCF303076" 492 52 29 14 15 34 11
"3077" "DPSCF303077" 492 0 0 46 22 12 27.5
"3078" "DPSCF303078" 492 41 28 11 31 33 18
"3079" "DPSCF303079" 491 40 26 10 31 24 37
"3080" "DPSCF303080" 491 35 12 12 8 23 8
"3081" "DPSCF303081" 491 35 21 16 11 27 25
"3082" "DPSCF303082" 491 0 0 0 0 0 0
"3083" "DPSCF303083" 490 0 1 9 15 26 11
"3084" "DPSCF303084" 490 11 7 2 7 3 2
"3085" "DPSCF303085" 490 30 14 10 16 18 13
"3086" "DPSCF303086" 490 31.5 16 9 15 12 9
"3087" "DPSCF303087" 490 39 31 25 28 37 11
"3088" "DPSCF303088" 490 39 22 16 19 23 12
"3089" "DPSCF303089" 490 36 21 12 27 20 39
"3090" "DPSCF303090" 490 6 3 10 3 1 0
"3091" "DPSCF303091" 490 24 18 14 16 23 10
"3092" "DPSCF303092" 489 31 26 24 17 12 20
"3093" "DPSCF303093" 489 26 10 9 0 11 1
"3094" "DPSCF303094" 489 4 0 0 0 1 0
"3095" "DPSCF303095" 489 44 22 8 21 25 15
"3096" "DPSCF303096" 489 29 19 11 21 22 10
"3097" "DPSCF303097" 489 42 53 31 18 40 38
"3098" "DPSCF303098" 489 32 15 14 17 18 42
"3099" "DPSCF303099" 489 19 13 7 15 9 11
"3100" "DPSCF303100" 489 22 13 18 15 15 13
"3101" "DPSCF303101" 489 3 0 0 0 0 0
"3102" "DPSCF303102" 489 37 24 19 21 21 13
"3103" "DPSCF303103" 489 20 9 2 2 2 9
"3104" "DPSCF303104" 488 38.5 25 7 18 29 7
"3105" "DPSCF303105" 488 40 21 30.5 22 14 39
"3106" "DPSCF303106" 488 32 17 17 29 13 69
"3107" "DPSCF303107" 488 9 11 11 20 6 19
"3108" "DPSCF303108" 488 41 21 16 18 22 8
"3109" "DPSCF303109" 488 38 18 12 22 19 18
"3110" "DPSCF303110" 488 31 17 13 23 22 11
"3111" "DPSCF303111" 488 5.5 2 2 8 4 15
"3112" "DPSCF303112" 487 2 1 0 0 0 0
"3113" "DPSCF303113" 487 64 35 46 26 64 46
"3114" "DPSCF303114" 487 33 11 7 9 14 8
"3115" "DPSCF303115" 487 4 0 1 1 0 1
"3116" "DPSCF303116" 487 26 13 7 14 19 6
"3117" "DPSCF303117" 487 31 16 13 16 20 21
"3118" "DPSCF303118" 487 35 22 10 16 23 14
"3119" "DPSCF303119" 487 30 24 13 18 8 19
"3120" "DPSCF303120" 487 1 1 0 0 3 1
"3121" "DPSCF303121" 486 27 22 13 21 21 7
"3122" "DPSCF303122" 486 3 3 4 5 3 4
"3123" "DPSCF303123" 486 40 22 10 16 28 12
"3124" "DPSCF303124" 486 28 22 14 19 18 14
"3125" "DPSCF303125" 486 49 27 23 20 27 13
"3126" "DPSCF303126" 486 38 23 13 18 28 23
"3127" "DPSCF303127" 485 32 22 21 20 20 16
"3128" "DPSCF303128" 485 36 20 24 26 30 12
"3129" "DPSCF303129" 485 31 22 8 15 30 19
"3130" "DPSCF303130" 485 33 25 11 18 27 12
"3131" "DPSCF303131" 485 8 0 0 0 0 0
"3132" "DPSCF303132" 485 42 24 8 14 30 23
"3133" "DPSCF303133" 485 0 0 5 13 14 7
"3134" "DPSCF303134" 485 34 22 8 22 24 19
"3135" "DPSCF303135" 485 46 24 10 15 20 21
"3136" "DPSCF303136" 484 45 22 31 17 29 30
"3137" "DPSCF303137" 484 43 27 8 18 23 28
"3138" "DPSCF303138" 484 16 14 12 17 15 15
"3139" "DPSCF303139" 484 51 28 15 18 21 22
"3140" "DPSCF303140" 483 11 6 2 0 6 0
"3141" "DPSCF303141" 483 14 9 16 17 13 21
"3142" "DPSCF303142" 483 34 25 23 17 24 19
"3143" "DPSCF303143" 483 43 21 12 15 29 12
"3144" "DPSCF303144" 483 31 19 6 20 21 11
"3145" "DPSCF303145" 483 33 17 14 18 24 17
"3146" "DPSCF303146" 483 36 0 12 25 32 12
"3147" "DPSCF303147" 482 7 4 2 0 1 0
"3148" "DPSCF303148" 482 16 8 8 9 11 3
"3149" "DPSCF303149" 482 28 11 11 21.5 20 22.5
"3150" "DPSCF303150" 482 35 18 24 23 15 47
"3151" "DPSCF303151" 482 33 18 14.5 16 25 17
"3152" "DPSCF303152" 482 37 20 30 21 13 38
"3153" "DPSCF303153" 482 12 9 3.5 3 6 4
"3154" "DPSCF303154" 482 41 28 8 15 25 13
"3155" "DPSCF303155" 482 36 21 14 15 18 22
"3156" "DPSCF303156" 481 15 11 7 15 13 7
"3157" "DPSCF303157" 481 47 30 9 22 15 35
"3158" "DPSCF303158" 481 2 1 5 4 8 3
"3159" "DPSCF303159" 481 24 19 28 12 10 12
"3160" "DPSCF303160" 481 40 28 11 19 27 31
"3161" "DPSCF303161" 481 13 3 5 8 10 9
"3162" "DPSCF303162" 481 35 17 16 12 21 10
"3163" "DPSCF303163" 481 32 24 15 19 25 24
"3164" "DPSCF303164" 481 47 24 24 19 18 16
"3165" "DPSCF303165" 481 18 13 12 20 16 12
"3166" "DPSCF303166" 480 0 0 0 0 0 0
"3167" "DPSCF303167" 480 3 4 7 7 23 6.5
"3168" "DPSCF303168" 480 60 28 15 24 32.5 15
"3169" "DPSCF303169" 480 0 0 0 0 0 0
"3170" "DPSCF303170" 480 43 21 12 12 29 12
"3171" "DPSCF303171" 480 15 9 4 10 24 0
"3172" "DPSCF303172" 480 57.5 21 9 50 19 49.5
"3173" "DPSCF303173" 479 0 5 1 6 8 4
"3174" "DPSCF303174" 479 8 5 2 7 6 11
"3175" "DPSCF303175" 479 28 13 1 10 8 7
"3176" "DPSCF303176" 479 21 12 15 17 11 18
"3177" "DPSCF303177" 479 22 11 44 17 15 11
"3178" "DPSCF303178" 479 14 12 5 12 9 2
"3179" "DPSCF303179" 478 60 51 11 16 30 11
"3180" "DPSCF303180" 478 76 50 27 61 31 43
"3181" "DPSCF303181" 478 87 35 26 56.5 29 54
"3182" "DPSCF303182" 478 25 16 16 4 19 13
"3183" "DPSCF303183" 478 35 20 5 13 24 14
"3184" "DPSCF303184" 478 36 15 7 10 23 5
"3185" "DPSCF303185" 478 46 26.5 13 20 27 14.5
"3186" "DPSCF303186" 477 32 20 10 18 30 34
"3187" "DPSCF303187" 477 5 5 3 8 3 4
"3188" "DPSCF303188" 477 38 20 14 17 27 19
"3189" "DPSCF303189" 477 38 17 7 16 25 9
"3190" "DPSCF303190" 477 29 18 15 20 22 19
"3191" "DPSCF303191" 477 14 9 9 14 12 31
"3192" "DPSCF303192" 477 21 13 13 17 9 9
"3193" "DPSCF303193" 476 33 24 15 25 29 4
"3194" "DPSCF303194" 476 25 22 13 15 20 8
"3195" "DPSCF303195" 476 42 29 9 15 29 11
"3196" "DPSCF303196" 476 NA 0 20 20 14 32
"3197" "DPSCF303197" 476 24.5 14 13 16 13 8
"3198" "DPSCF303198" 476 39 26 11 21 21 32
"3199" "DPSCF303199" 476 22 11 9 9 14 6
"3200" "DPSCF303200" 475 38 29 15 24 29 17
"3201" "DPSCF303201" 475 28 21 11 15 24 9
"3202" "DPSCF303202" 475 14 19 8 16 17 9
"3203" "DPSCF303203" 475 0 0 2 5 0 1
"3204" "DPSCF303204" 475 46 27 11 25 23 15
"3205" "DPSCF303205" 475 38 25 16 27 26 27
"3206" "DPSCF303206" 475 35 16 12 11 19 16
"3207" "DPSCF303207" 475 43 23 11 14 28 11
"3208" "DPSCF303208" 475 56 36 96 33 34 24
"3209" "DPSCF303209" 475 16 15 3 5 12 2
"3210" "DPSCF303210" 474 34 25 14 15 26 12
"3211" "DPSCF303211" 474 0 10 10 21 24 14
"3212" "DPSCF303212" 474 31 19 122 26 16 25
"3213" "DPSCF303213" 474 15 11 11 18 13 25
"3214" "DPSCF303214" 474 30 17 11 15 10 30
"3215" "DPSCF303215" 474 38 22 18 15 21 21
"3216" "DPSCF303216" 473 41 23 18 19 19 16
"3217" "DPSCF303217" 473 36 23 14 25 17 15
"3218" "DPSCF303218" 473 44 21 30 15 33 33
"3219" "DPSCF303219" 473 43 20 10 17 30 24
"3220" "DPSCF303220" 473 40 28 34 18 26 27
"3221" "DPSCF303221" 473 0 4 0 0 3 7
"3222" "DPSCF303222" 473 19 9 8 2 10 5
"3223" "DPSCF303223" 473 145 68 61 34 56 47
"3224" "DPSCF303224" 472 4.5 0 0 0 5 0
"3225" "DPSCF303225" 472 42 23 22 18 31 10
"3226" "DPSCF303226" 472 30 17 14 17 12 29
"3227" "DPSCF303227" 472 27 12 13 16 12 11
"3228" "DPSCF303228" 472 28 14 0 9 0 0
"3229" "DPSCF303229" 471 44 24 18 17 27 12
"3230" "DPSCF303230" 471 29 19 12 22 29 40
"3231" "DPSCF303231" 471 40 24 13 17 33 15
"3232" "DPSCF303232" 471 42 19 13 23 25 16
"3233" "DPSCF303233" 471 12 7 4 10 10 3
"3234" "DPSCF303234" 471 21 15 9 24 19 9
"3235" "DPSCF303235" 471 40 21 14 20 25 15
"3236" "DPSCF303236" 471 46 31 18 16 25 11
"3237" "DPSCF303237" 471 0 0 0 0 8 14
"3238" "DPSCF303238" 471 2 1 1 2 1 7
"3239" "DPSCF303239" 471 39 26 21 17 22 23
"3240" "DPSCF303240" 470 34 17 46 18 8.5 12
"3241" "DPSCF303241" 470 42 18 9 20 17 25
"3242" "DPSCF303242" 470 43 24 17 21 27.5 24
"3243" "DPSCF303243" 470 26 12 4 9 14 15
"3244" "DPSCF303244" 470 28 11 13 15 17 25
"3245" "DPSCF303245" 470 39 13 17.5 15 15 27.5
"3246" "DPSCF303246" 470 22 10 22 15 13 5
"3247" "DPSCF303247" 470 43 31 21 17.5 23 23
"3248" "DPSCF303248" 470 32 16 3 4 22 2
"3249" "DPSCF303249" 469 8 16 11 22 10 18
"3250" "DPSCF303250" 469 25 13 11 12 24 15
"3251" "DPSCF303251" 469 51 22 25 19 23 33
"3252" "DPSCF303252" 469 29 23 17 30 27 17
"3253" "DPSCF303253" 469 25 13 6 10 11 5
"3254" "DPSCF303254" 469 41 19 9 17 27 18
"3255" "DPSCF303255" 469 36 23 40 17 16 29
"3256" "DPSCF303256" 469 68 41 36 29 60 87
"3257" "DPSCF303257" 468 29 14 36 21 23 27
"3258" "DPSCF303258" 468 6 3 3 2 1 0
"3259" "DPSCF303259" 468 41 23 15 25 22 24
"3260" "DPSCF303260" 468 43 26 17 25 29 52
"3261" "DPSCF303261" 468 37 18 17 18 19 20
"3262" "DPSCF303262" 468 37 11 22 13 10 13
"3263" "DPSCF303263" 468 40 20 15 18 20 13
"3264" "DPSCF303264" 468 27 16 8 19 20 21
"3265" "DPSCF303265" 467 45 27 26 17 22 37
"3266" "DPSCF303266" 467 23 16 8 4 14 11
